Participant,Problem,Total Time,Time Typing,Time Paused,Max Pause,Code Ratio Third1,Code Ratio Third2,Code Ratio Third3,Deletions,maxPausePreDeletion,minTypingtoRunningTime,aveTypingtoRunningTime,minRunningtoTypingTime,aveRunningtoTypingTime,numTimesRun,numComments,Comment Lengths,Label
Participant 1,keystrokes1.csv,10.8414,3.156733333,6.783983333,1.645966667,0.511235955,0.191011236,0.297752809,5,0.272083333,0.065,0.135428571,4.247,17.64928571,7,0,0,fixed
Participant 1,keystrokes2b.csv,24.15976667,10.45136667,13.63606667,1.816383333,0.415,0.505,0.08,11,1.816383333,0.049,0.15565625,0.591,11.36816129,32,5,5,fixed
Participant 1,keystrokes3.csv,21.93428333,7.160116667,14.57578333,1.853916667,0.558718861,0.256227758,0.185053381,8,0.960083333,0.039,0.168692308,2.9,16.20438462,13,2,64,fixed
,Averages,18.97848333,6.922738889,11.66527778,1.772088889,0.494984939,0.317412998,0.187602063,8,1.016183333,0.051,0.153259043,2.579333333,15.07394387,17.33333333,2.333333333,23,fixed
Participant 4,keystrokes1.csv,18.47126667,8.013666667,10.24321667,2.530616667,0.503703704,0.37037037,0.125925926,13,1.5253,0.09,0.1555,2.903,24.27086667,16,6,263,fixed
Participant 4,keystrokes2.csv,23.24681667,10.92936667,12.31625,2.323516667,0.39516129,0.429435484,0.175403226,22,2.323516667,never ran code,0,never ran code,0,0,9,496,fixed
Participant 4,keystrokes3.csv,42.12508333,13.05608333,29.06633333,18.33375,0.80620155,0.19379845,0,15,0.67305,0.115,0.1776,2.592,123.2079,10,6,516,fixed
,Averages,27.94772222,10.66637222,17.2086,7.729294444,0.568355515,0.331201435,0.100443051,16.66666667,1.507288889,0.1025,0.16655,2.7475,73.73938333,13,7,425,fixed
Participant 5,keystrokes1.csv,25.98,5.771416667,20.20858333,2.357283333,0.147727273,0.636363636,0.215909091,5,2.357283333,never ran code,0,never ran code,0,0,2,171,growth
Participant 5,keystrokes2.csv,24.38251667,5.91885,17.59386667,5.448383333,0.457317073,0.5,0.042682927,12,3.783333333,0.207,0.207,25.981,25.981,1,0,0,growth
Participant 5,keystrokes3.csv,19.85161667,6.478033333,13.37358333,3.736083333,0.107476636,0.58411215,0.308411215,9,3.736083333,never ran code,0,never ran code,0,0,1,1,growth
,Averages,23.40471111,6.0561,17.05867778,3.84725,0.237506994,0.573491929,0.189001078,8.666666667,3.292233333,0.207,0.207,25.981,25.981,1,1.5,86,growth
Participant 6,keystrokes1.csv,3.81965,2.479833333,0.794583333,0.5363,0.397379913,0.462882096,0.139737991,5,0.046533333,0.331,0.331,inf,0,1,4,225,growth
Participant 6,keystrokes3.csv,10.84961667,3.805,6.1979,1.59545,0.535714286,0.12605042,0.338235294,8,0.2669,0.441,0.441,inf,0,1,7,431,growth
,Averages,7.334633333,3.142416667,3.496241667,1.065875,0.466547099,0.294466258,0.238986643,6.5,0.156716667,0.386,0.386,none,0,1,5.5,328,growth
Participant 7,keystrokes1.csv,20.36945,4.414066667,15.61556667,3.291,0.544827586,0.296551724,0.15862069,11,3.291,0.237,0.615333333,6.87,45.87945455,12,2,25,fixed
Participant 7,keystrokes2.csv,13.01886667,4.516333333,8.4149,2.206166667,0.676470588,0.18627451,0.137254902,7,2.206166667,0.141,0.2884,6.302,30.35377778,10,1,16,fixed
Participant 7,keystrokes3.csv,23.4306,3.7329,19.59916667,7.778366667,0.294573643,0,0.705426357,4,7.778366667,0.234,0.335,6.179,89.94114286,8,0,0,fixed
,Averages,18.93963889,4.2211,14.54321111,4.425177778,0.505290606,0.160942078,0.333767316,7.333333333,4.425177778,0.204,0.412911111,6.450333333,55.39145839,10,1,13.66666667,fixed
,,,,,,,,,,,,,,,,,,
,FixedAverages,21.95528148,7.27007037,14.47236296,4.642187037,0.52287702,0.26985217,0.20727081,10.66666667,2.316216667,0.119166667,0.244240051,3.925722222,48.06826187,13.44444444,3.444444444,153.8888889,
,GrowthAverages,40.81293426,4.851744444,35.58408426,15.98127222,0.536211415,0.321126011,0.142662573,9.555555556,1.603663889,0.2965,0.2965,25.981,8.660333333,1,2.333333333,138,